#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Feb 12 21:05:06 EST 2019,0,0,OneClientReadWriteAtomic, , ,OneClientReadWriteAtomic- ,ClientTagged OneClientConnection OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic OneClientThreadsNonAtomic ServerTagged StaticArguments ,
1,Tue Feb 12 21:24:59 EST 2019,0,0,OneClientReadWriteAtomic, , ,OneClientReadWriteAtomic ,ClientTagged OneClientConnection OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic OneClientThreadsNonAtomic ServerTagged StaticArguments ,
2,Tue Feb 12 21:25:10 EST 2019,10,10,ServerTagged,ServerTagged+ , ,OneClientReadWriteAtomic ,ClientTagged OneClientConnection OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic OneClientThreadsNonAtomic StaticArguments ,
3,Tue Feb 12 21:25:13 EST 2019,20,10,ClientTagged,ClientTagged+ ServerTagged , ,OneClientReadWriteAtomic ,OneClientConnection OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic OneClientThreadsNonAtomic StaticArguments ,
4,Tue Feb 12 21:26:20 EST 2019,20,0,ServerTagged,ClientTagged ServerTagged , ,OneClientReadWriteAtomic ,OneClientConnection OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic OneClientThreadsNonAtomic StaticArguments ,
5,Tue Feb 12 21:26:22 EST 2019,20,0,ClientTagged,ClientTagged ServerTagged , ,OneClientReadWriteAtomic ,OneClientConnection OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic OneClientThreadsNonAtomic StaticArguments ,
6,Tue Feb 12 21:27:31 EST 2019,20,0,OneClientConnection,ClientTagged ServerTagged , ,OneClientConnection+ OneClientReadWriteAtomic ,OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic OneClientThreadsNonAtomic StaticArguments ,
7,Tue Feb 12 21:31:30 EST 2019,30,10,OneClientThreadsNonAtomic,ClientTagged OneClientThreadsNonAtomic+ ServerTagged , ,OneClientConnection OneClientReadWriteAtomic ,OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic StaticArguments ,
8,Tue Feb 12 21:36:01 EST 2019,30,0,OneClientConnection,ClientTagged OneClientThreadsNonAtomic ServerTagged , ,OneClientConnection OneClientReadWriteAtomic ,OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic StaticArguments ,
9,Tue Feb 12 21:36:54 EST 2019,30,0,ServerTagged,ClientTagged OneClientThreadsNonAtomic ServerTagged , ,OneClientConnection OneClientReadWriteAtomic ,OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic StaticArguments ,
10,Tue Feb 12 21:37:03 EST 2019,30,0,ClientTagged,ClientTagged OneClientThreadsNonAtomic ServerTagged , ,OneClientConnection OneClientReadWriteAtomic ,OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic StaticArguments ,
11,Tue Feb 12 21:38:11 EST 2019,30,0,OneClientConnection,ClientTagged OneClientThreadsNonAtomic ServerTagged , ,OneClientConnection OneClientReadWriteAtomic ,OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic StaticArguments ,
12,Tue Feb 12 21:38:52 EST 2019,30,0,OneClientThreadsNonAtomic,ClientTagged OneClientThreadsNonAtomic ServerTagged , ,OneClientConnection OneClientReadWriteAtomic ,OneClientMessageRatioAtomic OneClientMessageRatioNonAtomic OneClientReadWriteNonAtomic OneClientThreadsAtomic StaticArguments ,
